pers,type,dt,count
Hydra,---,1648,1
Ian Schuners,person,1682,1
Immortal (xian),---,1600,1
Imperial cavalry,---,1618,1
Infant Adonis,---,1514,1
Infant Christ,---,1530,1
Infant Christ,---,1615,1
Infant St John the Baptist,---,1589,1
Invidia,---,1574,1
Io,---,1648,1
Io,---,1651,1
Iohn Diodati,person,1585,1
Iole,---,1589,1
Iris,---,1651,1
Iris,---,1672,1
Irish woman,Woman,1624,1
Isaac,OT,1549,1
Isabella d'Este,person,1620,1
Ishmael,OT,1589,1
Ishmael,OT,1627,1
Ishmael,OT,1634,1
Ishmael,OT,1695,1
Israelite army,Nation,1511,1
Israelite army,Nation,1649,1
Israelite army,Nation,1741,1
Israelites,Nation,1574,1
Israelites,Nation,1586,1
Israelites,Nation,1592,2
Israelites,Nation,1594,1
Israelites,Nation,1609,1
Israelites,Nation,1613,1
Israelites,Nation,1619,1
Israelites,Nation,1638,1
Israelites,Nation,1647,1
Israelites,Nation,1649,1
Israelites,Nation,1651,2
Israelites,Nation,1688,2
"Issachar, Patriarch of Israel",OT,1643,1
Ithacan rebels,Nation,1647,1
Itys,---,1577,1
Iustitia,---,1601,1
Ixion,---,1652,1
Jacob,OT,1578,1
Jacob,OT,1642,2
Jacob,OT,1644,1
Jacob,OT,1646,1
Jacob Roelants,person,1608,1
Jacques Barrelier,person,1645,1
Jael,OT,1688,1
Jair,OT,1526,1
James,---,1746,1
James I,person,1592,1
James I,person,1609,2
James I,person,1641,1
James I,person,1643,1
James I,person,1646,1
James V,person,1643,1
Janus,---,1643,1
Jason,---,1655,1
"Jean Baptiste Gault, Bishop of Marseille",person,1661,1
Jehoiada,OT,1672,1
Jehoshaphat,---,1608,1
Jephthah's daughter,OT,1695,1
Jeremiah,OT,1695,1
Jeroboam,---,1594,1
Jeroboam,---,1688,1
Jeroboam's son,OT,1585,1
Jesse,OT,1583,1
Jesus,---,1572,1
Jesus,---,1585,3
Jesus,---,1589,1
Jesus,---,1609,1
Jesus,---,1635,1
Jesus,---,1638,1
Jesus,---,1646,1
Jesus,---,1650,2
Jesus,---,1651,1
Jesus,---,1688,1
Jesus Child,---,1644,1
Jesus Christ,---,1518,1
Jesus Christ,---,1592,1
Jesus Christ,---,1632,1
Jesus Christ,---,1732,1
Jews,Nation,1651,1
Joab,OT,1491,1
Joash,OT,1635,1
Joash,OT,1672,1
Job,OT,1582,1
Job,OT,1619,1
"Johann Friedrich, elector of Saxony",person,1651,1
Johann Jakob Scheuchzer,person,1648,1
Johannes Hallius,person,1688,1
Johannes Henry van Craenhals,---,1549,1
John,---,1585,1
John,---,1598,1
John,---,1746,1
"John III Sobieski, King of Poland and Grand Duke of Lithuania",person,1620,1
John Pym,person,1591,1
John Taylor,person,1589,1
John de Gavarelle,person,1682,1
John the Baptist,---,1589,1
John the Baptist,---,1596,1
John the Baptist,---,1650,1
John the Baptist,---,1673,1
John the Baptist,---,1726,1
Jonah,OT,1585,2
Jonah,OT,1694,1
Jonas,OT,1528,1
Joseph,---,1498,1
Joseph,---,1504,1
Joseph,---,1585,2
Joseph,---,1606,1
Joseph,---,1610,1
Joseph,---,1615,1
Joseph,---,1641,2
Joseph,---,1642,1
Joseph,---,1643,2
